"","StartDate","TimeStart","TimeEnd","Count","Pairs","X","Y"
"131",2022-11-30,09:30:00,10:30:00,12,3,18.30181,-32.089261
"132",2022-12-28,09:00:00,10:30:00,12,0,18.30181,-32.089261
"133",2023-01-25,09:00:00,10:30:00,10,2,18.30181,-32.089261
"134",2023-02-28,08:30:00,10:00:00,10,1,18.30181,-32.089261
"135",2023-03-13,11:30:00,12:30:00,8,1,18.30181,-32.089261
"136",2023-05-12,09:00:00,10:00:00,2,0,18.30181,-32.089261
"137",2023-06-23,12:00:00,13:00:00,12,0,18.30181,-32.089261
"138",2023-07-28,09:30:00,10:30:00,11,0,18.30181,-32.089261
"139",2023-08-31,08:00:00,09:00:00,12,1,18.30181,-32.089261
"140",2023-09-14,08:00:00,09:00:00,9,1,18.30181,-32.089261
"141",2023-10-06,09:00:00,10:00:00,10,0,18.30181,-32.089261
"142",2023-11-20,08:00:00,09:00:00,8,0,18.30181,-32.089261
"143",2023-12-04,10:00:00,11:00:00,12,0,18.30181,-32.089261
"144",2024-01-19,09:00:00,10:00:00,10,0,18.30181,-32.089261
"145",2024-02-23,11:00:00,12:00:00,8,0,18.30181,-32.089261
"146",2024-03-12,09:00:00,10:00:00,8,1,18.30181,-32.089261
"147",2024-04-20,09:00:00,10:00:00,8,0,18.30181,-32.089261
"148",2024-05-09,12:00:00,13:00:00,8,0,18.30181,-32.089261
"149",2024-06-30,12:15:00,13:15:00,8,0,18.30181,-32.089261
"150",2024-07-30,11:00:00,12:00:00,8,0,18.30181,-32.089261
"151",2024-08-30,08:00:00,08:45:00,8,0,18.30181,-32.089261
"152",2024-09-13,08:00:00,09:00:00,6,0,18.30181,-32.089261
"153",2024-10-18,09:00:00,10:00:00,6,1,18.30181,-32.089261
"154",2024-11-07,09:00:00,10:00:00,10,2,18.30181,-32.089261
"155",2024-12-19,09:00:00,10:00:00,10,0,18.30181,-32.089261
"156",2025-01-06,08:00:00,09:00:00,10,0,18.30181,-32.089261
"157",2025-02-28,08:30:00,09:30:00,10,0,18.30181,-32.089261
"158",2025-03-25,08:00:00,09:00:00,8,0,18.30181,-32.089261
"159",2025-04-04,09:00:00,10:00:00,8,0,18.30181,-32.089261
"160",2025-05-30,09:30:00,10:30:00,12,0,18.30181,-32.089261
"161",2025-06-13,11:00:00,12:00:00,10,0,18.30181,-32.089261
