"","data_aet","data_tmax","data_tmin","data_ws","data_ppt"
"601",3.6,29.26,16.06,5.62,3.6
"602",10.3,29.56,15.8,5.44,10.7
"603",2.1,28.94,14.79,4.99,2.1
"604",5.3,26.45,11.84,4.05,5.4
"605",42,22.65,12.35,3.59,44.1
"606",25.8,20.46,9.41,3.82,27.1
"607",67.8,19.1,8.59,4.02,86.7
"608",46.2,20.77,8.29000000000001,4,42.4
"609",25.8,19.63,7.3,4.86,24.4
"610",5.2,24.78,10.28,4.96,3.9
"611",11,26.96,13.2,5.55,10.5
"612",0.7,29.28,14.87,5.71,0
"613",0.6,28.69,14.46,4.79,0.1
"614",7.6,29.81,15.77,5.5,7.5
"615",1.5,29.37,14.55,4.85,1.2
"616",18.2,27.49,14.3,4.2,18.9
"617",29.5,22.22,10.7,3.37,30.8
"618",61.6,20,9.75,3.96,69.4
"619",25.7,19.81,8.67,3.68,25.7
"620",29.9,21.37,8.64,3.52,30.6
"621",14.5,21.67,8.52,4.48,14.6
"622",5.6,25.42,11.94,5.01,5.4
"623",8,26.6,13.04,5.53,8
"624",1.3,27.92,13.08,5.01,1.1
"625",1.6,29.33,15.41,5.1,1.4
"626",10.1,30.1,15.4,4.74,10.4
"627",6.7,29.86,15.76,4.68,6.8
"628",3.8,26.67,12.33,4.35,3.8
"629",34,22.6,11.38,3.92,35.6
"630",29.9,20.96,8.11,3.56,31.4
"631",24.1,21.44,8.62,3.5,25.2
"632",13.4,22.14,8.78,3.95,14
"633",9.8,23.17,9.7,4.43,10.3
"634",6.5,23.72,10.38,4.78,6.8
"635",8.2,26.7,12.54,5.19,8.6
"636",4.4,28.44,14.88,5.34,4.6
"637",3.2,29.73,15.59,5.03,3.3
"638",0.9,30.04,16.74,4.91,0.9
"639",6.2,29.3,15.66,4.62,6.5
"640",15.3,25.59,11.93,4.54,16.1
"641",24.5,24.4,12.03,3.04,25.7
"642",55.2,19.43,8.38,3.72,58.1
"643",15.2,19.41,7.53,3.73,15.9
"644",34.1,20.71,7.92,4.02,35.8
"645",5.4,22.79,8.65000000000001,4.25,5.6
"646",7.6,23.99,10.54,4.52,7.9
"647",11.2,25.7,11.38,5.58,11.7
"648",4.3,27.22,13.16,5.64,4.5
"649",1.4,30.54,16.33,4.74,1.5
"650",1.7,29.61,14.81,5.26,1.7
"651",6.4,29.04,15.12,5.07,6.7
"652",32.2,26.44,11.77,4.84,33.9
"653",8.4,22.49,9.64,2.89,8.8
"654",44.9,20.03,8.44,3.42,47.3
"655",24,17.93,6.42,3.52,25.2
"656",58.2,18.57,7.29000000000001,4.09,61.3
"657",19.5,20.93,8.17,3.99,20.5
"658",6.7,23.85,10.81,5.51,7.1
"659",9.1,27.6,12.9,5.31,9.6
"660",14.3,29.12,15.68,5.07,15.1
"661",1.6,29.49,15.66,5.46,1.7
"662",3,29.77,15.23,5.41,3.2
"663",10.7,30.17,15.26,5.24,11.3
"664",17.4,25.84,11.28,4.37,18.3
"665",20,23.9,11.08,2.96,21.1
"666",60.9,19.36,7.43000000000001,4.07,64.2
"667",18.2,20.18,8.63,3.39,19.1
"668",60.1,18.6,7.86,4.41,63.3
"669",21.7,19.61,7.3,4.31,22.8
"670",5.7,24.36,11.23,5.02,5.9
"671",4,27.33,13.3,5.47,4.2
"672",6,29.12,15.25,5.48,6.3
"673",14,29.66,16.36,4.52,14.7
"674",1,30.37,16.53,5.18,1.1
"675",10.7,27.53,13.65,5,11.3
"676",8,27.1,12.86,4.28,8.5
"677",18.9,23.63,11.58,3.45,19.9
"678",47.4,20.13,8.27,3.71,49.9
"679",45.2,19.3,7.95,3.7,47.6
"680",38.4,20.74,9.59,3.89,40.5
"681",11.2,23.12,9.2,4.1,11.8
"682",0.6,26.65,11.94,4.89,0.6
"683",14.7,26.24,12.98,5.1,15.5
"684",0.7,28.69,14.25,5.65,0.7
"685",2.3,29.94,15.73,4.66,2.4
"686",0.2,28.93,13.82,5.22,0.2
"687",1.2,29.82,15.02,4.6,1.3
"688",3,25.71,11.93,4.41,3.2
"689",4.5,24.33,10.91,2.74,4.7
"690",61.1,19.64,8.41,3.41,66.3
"691",30.5,18.6,8.06,3.61,31.9
"692",54.7,19.79,7.54000000000001,3.66,57.4
"693",5.1,22.83,10.2,4.44,5.3
"694",1.2,26.46,12.46,4.65,1.1
"695",7,26.83,12.37,5.5,7.2
"696",3.6,30.18,14.94,5.01,3.7
"697",18.7,30.1,16.8,4.71,19.6
"698",0.6,30.4,15.7,5.03,0.6
"699",6.6,28.5,14.1,4.91,6.9
"700",17.4,26.7,13,4.47,18.3
"701",25,23.3,11.1,3.03,26.3
"702",19.4,21.5,9.3,3.53,20.4
"703",37.2,19.4,7.90000000000001,3.66,39.1
"704",17.9,22.7,9.60000000000001,3.42,18.8
"705",23.5,21.8,9,4.35,24.7
"706",2.1,25.5,10.9,4.76,2.2
"707",4.5,28.5,14,5.7,4.7
"708",2.8,30.4,15.1,5.44,2.9
"709",2.2,29,14.6,5.45,2.3
"710",1.1,30.2,15.4,5.66,1.1
"711",2.2,29.9,14.5,4.98,2.3
"712",19.6,27.7,12.9,4.25,20.6
"713",3.1,24.6,11.2,2.83,3.2
"714",42.4,21.2,8.8,3.76,44.6
"715",11.2,21,7.60000000000001,3.4,11.8
"716",13.1,20.7,7.90000000000001,3.83,13.8
"717",4.2,24.3,10,4.62,4.4
"718",6.8,23.8,9.7,5.21,7.1
"719",15.8,26.7,12.6,5.43,16.6
"720",1.5,28.7,14,5.77,1.6
"721",1.2,29.8,15.6,5.2,1.2
"722",4.3,29.9,15,5.3,4.5
"723",7.2,28.4,14.2,4.7,7.6
"724",13.8,27,13.4,4.1,14.5
"725",34.5,23.3,11.3,3.1,36.3
"726",27.5,21.1,9.60000000000001,3.4,28.9
"727",26.5,20.7,9.60000000000001,4.2,27.9
"728",21.8,18.8,6.90000000000001,3.3,22.9
"729",20.5,20.5,7.90000000000001,4.1,21.6
"730",2.4,26.4,12.4,5.6,2.5
"731",3.1,27.6,12.7,5.4,3.3
"732",2.7,29.1,14.6,4.9,2.8
"733",4.9,28.7,14.5,4.4,5.1
"734",4.7,30,15.5,4.4,4.9
"735",12.3,27.4,13.3,4.7,12.9
"736",7.7,24.3,10.5,4.2,8.1
"737",24.8,22,9.8,3.3,26.1
"738",24.9,19.6,7.7,2.8,26.2
"739",40.5,18.7,7.2,3.7,42.6
"740",8.3,20.2,8.2,4.1,8.7
"741",7.1,23.4,10.7,4.1,7.5
"742",11.2,24.1,10.6,4.9,11.8
"743",1.9,26.3,12.6,4.9,2
"744",7.6,27.6,13.6,4,8
"745",5.2,28.5,14.4,4.5,5.5
"746",2.2,29.9,15.4,5.1,2.3
"747",1.1,27.8,13.6,4.6,1.2
"748",14.1,25.6,11.9,4,14.8
"749",8.8,22.2,10.1,2.8,9.3
"750",31.4,20.3,8.40000000000001,3.1,33
"751",62,20,8.60000000000001,3.7,65.3
"752",31.1,19.7,7.7,3.7,32.7
"753",6.9,21.5,8.7,4.4,7.3
"754",9.5,23.5,10,4.9,10
"755",9.6,26.3,12.5,5.5,10.1
"756",1.2,27.3,13.1,5.3,1.3
"757",2.9,28.6,14.5,5.1,3.1
"758",1.7,28.3,13.8,5.8,1.8
"759",7,27.8,13.6,4.4,7.4
"760",4,26.4,12.7,4,4.2
"761",28.7,22,9.90000000000001,3,30.2
"762",33.2,20.9,9,3.5,34.9
"763",31.6,18.9,7.5,3.5,33.3
"764",34.4,19.5,7.5,3.5,36.2
"765",3.4,21.5,8.7,4.7,3.6
"766",15.2,24.6,11.1,5,16
"767",12.8,26.3,12.5,5.8,13.5
"768",15.7,27.4,13.2,5.1,16.5
"769",1.4,29.7,15.6,4.4,1.5
"770",2.3,29.2,14.6,4.6,2.4
"771",4.4,29,14.7,4.9,4.6
"772",5.1,25.5,11.7,4.8,5.4
"773",10.8,21.4,9.2,2.8,11.4
"774",29.3,21.2,9.3,4,30.8
"775",18.9,19.2,7.7,3.4,19.9
"776",21,20.1,8.2,3.8,22.1
"777",6.5,21.3,8.40000000000001,4,6.8
"778",0.6,24.6,11,4.7,0.6
"779",3.6,26.5,12.6,4.7,3.8
"780",17.1,28.1,13.7,5.1,18
"781",2.2,28.1,14,4.7,2.3
"782",7.9,29.4,14.8,5.1,8.3
"783",20,28.4,14.1,4.9,21.1
"784",11.8,24.9,11.1,4,12.4
"785",32.5,20.7,8.5,2.9,34.2
"786",54.6,20,8.10000000000001,4,96.3
"787",46.7,19.1,7.60000000000001,3.7,25.4
"788",24.4,20.7,8.8,4,21.4
"789",29.4,20.9,8,4.4,28.8
"790",3.2,25.9,12.3,4.6,2
"791",5.1,27.4,13.5,4.9,4.5
"792",1.6,27.7,13.3,5.9,1
"793",2.1,29.9,15.8,4.5,1.7
"794",2.2,30,15.4,5.2,1.9
"795",3.8,28.4,14.1,4.7,3.7
"796",28.3,25,11.2,3.8,29.5
"797",7.7,22.6,10.4,2.7,7.9
"798",39.2,21.3,9.40000000000001,3.8,41.1
"799",61.7,18.6,7.10000000000001,4.4,115.1
"800",69.8,19.8,7.90000000000001,4.3,49.7
"801",14.5,21.2,8.3,4.7,11
"802",14.2,25.4,11.8,5.3,12.8
"803",2.4,26.2,12.3,5.3,1.2
"804",3.3,27.6,13.2,5.5,2.6
